Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR6915103_1	28.086233542423003	47.0	99.23186898112479	100	10.0	17661211.0
SRR6915103_2	27.85053204685535	47.0	99.06262662282897	100	10.0	17661211.0
SRR6915104_1	26.759869459828494	44.0	99.31615326013694	100	10.0	19929853.0
SRR6915104_2	26.517542010383366	44.0	99.100921316379	100	10.0	19929853.0
SRR6915105_1	21.28662756942903	46.0	99.1391893999551	100	10.0	15169898.0
SRR6915105_2	20.936375445141294	46.0	99.05593096275268	100	10.0	15169898.0
SRR6915106_1	30.14505817266567	47.0	99.24195680434309	100	10.0	17724143.0
SRR6915106_2	29.654202781762834	47.0	98.99313326460975	100	10.0	17724143.0
SRR6915107_1	24.152841777952432	44.0	99.11473771924219	100	10.0	11359926.0
SRR6915107_2	24.206871989347746	44.0	98.92777347317227	100	10.0	11359926.0
SRR6915108_1	22.281865710458277	46.0	99.13679154438763	100	10.0	17622946.0
SRR6915108_2	22.139521628154696	46.0	98.96549907149463	100	10.0	17622946.0
SRR6915109_1	27.289043021469567	48.0	99.58823976429565	100	10.0	31279186.0
SRR6915109_2	26.698061489085262	48.0	99.31809533023014	100	10.0	31279186.0
SRR6915110_1	32.62324328622405	47.0	99.51422128363373	100	10.0	13249683.0
SRR6915110_2	32.11898426644254	47.0	99.29880503556198	100	10.0	13249683.0
SRR6915111_1	55.92025765588594	45.0	99.60914915498616	100	20.0	35522909.0
SRR6915111_2	54.904051528658954	45.0	99.41748723337945	100	20.0	35522909.0
SRR6915112_1	25.60692562170415	47.0	99.55073974549303	100	10.0	21283739.0
SRR6915112_2	25.129910267644306	47.0	99.32993709422955	100	10.0	21283739.0
