Module	Section	Sample Name	Source
FastQC	all_sections	SRR6915111_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915111_1_fastqc.zip
FastQC	all_sections	SRR6915105_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915105_2_fastqc.zip
FastQC	all_sections	SRR6915107_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915107_1_fastqc.zip
FastQC	all_sections	SRR6915105_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915105_1_fastqc.zip
FastQC	all_sections	SRR6915107_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915107_2_fastqc.zip
FastQC	all_sections	SRR6915106_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915106_1_fastqc.zip
FastQC	all_sections	SRR6915110_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915110_2_fastqc.zip
FastQC	all_sections	SRR6915106_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915106_2_fastqc.zip
FastQC	all_sections	SRR6915112_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915112_1_fastqc.zip
FastQC	all_sections	SRR6915110_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915110_1_fastqc.zip
FastQC	all_sections	SRR6915111_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915111_2_fastqc.zip
FastQC	all_sections	SRR6915103_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915103_2_fastqc.zip
FastQC	all_sections	SRR6915109_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915109_1_fastqc.zip
FastQC	all_sections	SRR6915109_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915109_2_fastqc.zip
FastQC	all_sections	SRR6915112_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915112_2_fastqc.zip
FastQC	all_sections	SRR6915104_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915104_1_fastqc.zip
FastQC	all_sections	SRR6915103_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915103_1_fastqc.zip
FastQC	all_sections	SRR6915104_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915104_2_fastqc.zip
FastQC	all_sections	SRR6915108_1	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915108_1_fastqc.zip
FastQC	all_sections	SRR6915108_2	/mnt/data/Study/colon_cancer_datasets/italian_cohort/SRP136711/fastqc_results/SRR6915108_2_fastqc.zip
